Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,log_return,vol_7,vol_14,vol_30,ewm_vol_7,log_return_norm,ma_return_3,ma_return_5,lag_1,lag_2,lag_3,vol_ratio,volume_change,volume_vol_5,high_low_range,close_open_ratio,momentum_3
2018-02-01 00:00:00+00:00,10285.1,10335.0,8750.99,9224.52,33564.764311,2018-02-01 23:59:59.999000 UTC,317636345.9843711,316020,15430.003849,146130725.8704748,0,-0.10883108990254975,0.0468717007989645,0.0597918076513258,0.07095402727771097,0.055114546913089535,-1.9746345746825453,-0.048051953072118826,-0.015051476003200368,0.004637819975389339,-0.09439858760924733,-0.05439509158249847,0.6605925357204984,-0.29499515237293183,0.4864952735361634,0.07095307917888567,1.005386119257087,-0.13424719801009266
2018-02-02 00:00:00+00:00,9224.52,9250.0,8010.02,8873.03,49971.626975,2018-02-02 23:59:59.999000 UTC,434236483.7044874,453411,23113.503584,201292749.5150992,0,-0.03884881716142667,0.05904021084315849,0.06592522610427545,0.07057132362024399,0.06348861298678593,-0.6119021243937458,-0.06619728584546926,-0.04393979284459391,-0.10883108990254975,0.004637819975389339,-0.09439858760924733,0.8366034221047585,0.8630575480556608,0.5633632115700914,0.15401017005182255,0.8968818971132998,-0.1801155452848635
2018-02-03 00:00:00+00:00,8873.03,9473.01,8229.0,9199.96,28725.000735,2018-02-03 23:59:59.999000 UTC,256834729.0599109,327519,14182.838146,127068644.49604894,0,0.03618279732835513,0.058482069847926074,0.0640437466685142,0.07042961175677782,0.05499774314443714,0.6578960382670705,-0.04768069569619571,-0.05836715325606658,-0.03884881716142667,-0.10883108990254975,0.004637819975389339,0.8303619513037857,0.4888120921088388,0.5395713749084587,0.1344221704760789,0.9618961203401369,-0.13328240949215187
2018-02-04 00:00:00+00:00,9199.96,9368.0,7930.0,8184.81,32014.308449,2018-02-04 23:59:59.999000 UTC,274912288.421322,356134,13805.29579,118884553.20936234,0,-0.1169191388606565,0.05859239045281183,0.055208137104060376,0.0709485846848324,0.05976113391689446,-1.9564411047361918,-0.037165703245207106,-0.040251575473895865,0.03618279732835513,-0.03884881716142667,-0.10883108990254975,0.8258429778844889,-0.42517379413380607,0.6093262334201536,0.14020126157580895,1.036845361730998,-0.10550602327639025
2018-02-05 00:00:00+00:00,8179.99,8382.8,6625.0,6939.99,63403.182579,2018-02-05 23:59:59.999000 UTC,471166218.7134473,533510,29857.35839,222022401.0169236,0,-0.1649796637633145,0.05830115605029415,0.05668944560742082,0.06846035453689757,0.06827965129893396,-2.4162347145128185,-0.03986171956457602,-0.04475568572417769,-0.1169191388606565,0.03618279732835513,-0.03884881716142667,0.8516046468744477,0.11451027431975436,0.536969954692097,0.15630502741316268,0.889657128944039,-0.11271155572322467
2018-02-06 00:00:00+00:00,6939.63,7878.0,6000.01,7652.14,100201.500307,2018-02-06 23:59:59.999000 UTC,684364276.3666689,785996,49565.020794,339117633.4088549,0,0.0976850136855151,0.07203585149632136,0.06729402929378599,0.07282227669854138,0.08135873513428578,1.2006702602281385,-0.08190533509853863,-0.07867918247191846,-0.1649796637633145,-0.1169191388606565,0.03618279732835513,0.9892007605656776,0.9804639128783199,0.574797897220452,0.21489023825212492,0.8484105726290619,-0.2178556817682349
2018-02-07 00:00:00+00:00,7655.02,8476.0,7150.01,7599.0,60778.460497,2018-02-07 23:59:59.999000 UTC,477935038.8117769,514893,30084.836266,237137973.4531389,0,-0.006968687593351903,0.09399602372613242,0.07527387755528415,0.07626346887626567,0.1073124119121008,-0.06493831858946503,-0.06140459631281864,-0.03737596175430549,0.0976850136855151,-0.1649796637633145,-0.1169191388606565,1.2325170243519488,0.5803859716686857,0.530602688817533,0.270618174167787,1.1026726208746,-0.16824203583493835
2018-02-08 00:00:00+00:00,7599.0,7844.0,7572.09,7784.02,1521.537318,2018-02-08 23:59:59.999000 UTC,11770168.04386595,12417,844.258813,6532638.63751892,0,0.024056254565828366,0.09314333320137905,0.07243725517710166,0.07559642115950616,0.09367559236063562,0.25680386917881176,-0.02475444589038378,-0.03099993584069054,-0.006968687593351903,0.0976850136855151,-0.1649796637633145,1.232112999170284,-0.3934376200876698,0.6123790079108252,0.17321835867182578,0.9926819263698853,-0.07157282820248734
2018-02-09 00:00:00+00:00,7789.9,8738.0,7789.9,8683.92,20482.910825,2018-02-09 23:59:59.999000 UTC,173348469.81187892,273091,10404.040792,88117562.12096503,0,0.10940012537559372,0.09106585649206989,0.07374964726759793,0.07603053036417307,0.0844128041601514,1.2960134006214905,0.03825752688599717,-0.03342524439319589,0.024056254565828366,-0.006968687593351903,0.0976850136855151,1.197753797795178,-0.9749658463613914,0.7742378581157546,0.03578233978155018,1.0243479405184894,0.12161833086214835
2018-02-10 00:00:00+00:00,8683.93,9065.78,8120.0,8533.98,49381.512653,2018-02-10 23:59:59.999000 UTC,423411421.93098,537578,24506.723294,210253734.3806545,0,-0.017417198432916687,0.1034966043468932,0.08212902958659653,0.07906566258019311,0.09295337385846696,-0.18737564555146252,0.04216256411602337,0.011838608454054152,0.10940012537559372,0.024056254565828366,-0.006968687593351903,1.308995598967134,12.461983865058247,5.605301722872683,0.12170887944646278,1.1147665566952079,0.13483548392998546
